sequence,length,dedup_strategy,task_role,label_source_mode,is_from_merged_backbone,contains_merged,ic50_uM_min,ic50_uM_max,ic50_uM_median,ic50_uM_mean,ic50_spread_ratio_max_min,source_count,record_count_total,row_count_after_filter,source_db_set,source_table_set,source_file_set,origin_source_set,high_confidence_flag,conflict_flag,tier_23,raw_record_ids,citation_ids,notes,is_main_23,is_aux_45,weight_len,weight_quality,sample_weight
LIVT,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,0.11,0.11,0.11,0.11,1.0,1,1,1,,,,ferm_strict_core_standardized,False,False,,fermfoodb_ace_000378 || FMDB991,,singleton || only_one_record_in_fermfoodb || Ace-inhibitory || Antihypertensive Peptides Derived from soy Protein by Fermentation || Spectrophotometric assay using HHL as substrate,False,True,0.6,0.7,0.42
LIYP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,10.0,10.0,10.0,10.0,1.0,2,7,7,,,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,,mbpdb_ace_000201 || MBPDB_P05814_LIYP_64-67 || 3664 || 5287 || 5967 || 6297 || 6784 || 6792,10.1080/00021369.1989.10869621 || Milk (human β casein) || Human (Human Beta Casein) || Milk || Human (Synthetic peptide of Human beta casein),"Inhibition of Angiotensin-converting Enzyme by Synthetic Peptides of Human β-Casein || Homo sapiens || Beta-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981) || RP-HPLC, TLC, FAB-MS",False,True,0.6,0.8,0.48
LKLP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,367.1,367.1,367.1,367.1,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000465 || 9219,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9219,BIOPEP-UWM,False,True,0.6,0.7,0.42
LLRH,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,307.5,307.5,307.5,307.5,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000464 || 9218,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9218,BIOPEP-UWM,False,True,0.6,0.7,0.42
LMGP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,377.5,377.5,377.5,377.5,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000412 || 9143,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9143,BIOPEP-UWM,False,True,0.6,0.7,0.42
LNPA,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,312.0,312.0,312.0,312.0,1.0,1,2,2,,,,ahtpdb_clean_um_standardized,False,False,,5288 || 5785,Cereals (Maize (Zea mays)),small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || RP-HPLC,False,True,0.6,0.7,0.42
LPHF,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,670.0,670.0,670.0,670.0,1.0,2,3,3,,,,ferm_strict_core_standardized || ahtpdb_clean_um_standardized,False,False,,fermfoodb_ace_000264 || FMDB859 || 5289 || 6218,Soybean (Glycine max),"singleton || only_one_record_in_fermfoodb || Ace-inhibitory || Production of angiotensin I-converting enzyme inhibitory peptides from soybean protein with Monascus purpureus acid proteinase || Spectrophotometric assay using pig pulmonary ACE and hippuryl-L-histidyl-L-leucine substrate || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || IEC, RP-HPLC, UF",False,True,0.6,0.8,0.48
LPLP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,703.0,750.0,720.0,722.8,1.0668563300142246,4,10,10,,,,biopep_core_standardized || mbpdb_core_standardized || ferm_strict_core_standardized || ahtpdb_clean_um_standardized,False,False,,biopep_ace_000043 || 2665 || mbpdb_ace_000198 || MBPDB_P05814_LPLP_141-144 || fermfoodb_ace_000179 || FMDB378 || 3666 || 4454 || 5290 || 6000 || 6328 || 6786 || 6825,"https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=2665 || 1) 10.1080/00021369.1989.10869621, 2) 10.1016/j.ijfoodmicro.2013.09.002 || 24135669 || Milk (human β casein) || Human (Human Beta Casein) || Milk || Human (Synthetic peptide of Human beta casein)","BIOPEP-UWM || 1) Inhibition of Angiotensin-converting Enzyme by Synthetic Peptides of Human β-Casein, 2) Novel probiotic-fermented milk with angiotensin I-converting enzyme inhibitory peptides produced by Bifidobacterium bifidum MF 20/5 || Homo sapiens || Beta-casein || singleton || only_one_record_in_fermfoodb || Ace-inhibitory || spectrophotometeric assay using HHL as substrate || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981) || RP-HPLC, TLC, FAB-MS || Cushman and Cheung (1971), Gonzalez-Gonzalez et al || RP-HPLC, LC-MS",False,True,0.6,0.8,0.48
LPYP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,5.0,5.0,5.0,5.0,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000534 || 9682,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9682,BIOPEP-UWM,False,True,0.6,0.7,0.42
LPYY,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,116.26,116.26,116.26,116.26,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000656 || 10123,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10123,BIOPEP-UWM,False,True,0.6,0.7,0.42
LQKW,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,3.5,82.4,34.7,38.73333333333333,23.542857142857144,2,9,9,,,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,,mbpdb_ace_000085 || MBPDB_P02756_LQKW_76-79 || 1008 || 1313 || 1739 || 2012 || 4326 || 5291 || 5927 || 6709,10.1016/S0958-6946(02)00080-8 || Synthetic || Whey protein (Beta Lactoglobulin) || Enzymatic-hydrolysis (Hydrolysis with thermolysin) || Βeta-lactoglobulin || Milk-Cheese (Sheep milk and cheeses proteins) || Milk (caprine lactoglobulin),"Preparation of ovine and caprine β-lactoglobulin hydrolysates with ACE-inhibitory activity Identification of active peptides from caprine β-lactoglobulin hydrolysed with thermolysin || Capra hircus || Beta-lactoglobulin || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || Spectrophotometric, HPLC, UPLC || RP-HPLC-MS/MS || SEC, RP-HPLC || RP-HPLC",False,True,0.6,0.8,0.48
LQKY,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,63.015290742,63.015290742,63.015290742,63.015290742,1.0,1,1,1,,,,ahtpdb_clean_um_standardized,False,False,,4303,Whey,small || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || Cushman and Cheung (1971) || RP-HPLC,False,True,0.6,0.7,0.42
LQSW,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,500.0,500.0,500.0,500.0,1.0,2,3,3,,,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,,mbpdb_ace_000193 || MBPDB_P02666_LQSW_155-158 || 1729 || 6378,10.3168/jds.S0022-0302(96)76487-1 || Enzymatic-hydrolysis (Hydrolysis with a proteinase from L. helveticus CP790),"Identification of an Antihypertensive Peptide from Casein Hydrolysate Produced by a Proteinase from Lactobacillus helveticus CP790 || Bos taurus || Beta-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || Spectrophotometric, HPLC, UPLC",False,True,0.6,0.8,0.48
LRFF,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,116.9,116.9,116.9,116.90000000000002,1.0,3,3,3,,,,biopep_core_standardized || mbpdb_core_standardized || ferm_strict_core_standardized,False,False,,biopep_ace_000471 || 9236 || mbpdb_ace_000311 || MBPDB_P02662_LRFF_36-39 || fermfoodb_ace_000559 || FMDB1291,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9236 || 10.1016/j.jff.2015.04.043,BIOPEP-UWM || Purification and identification of novel peptides with inhibitory effect against angiotensin I-converting enzyme and optimization of process conditions in milk fermented with the yeast Kluyveromyces marxianus || Bos taurus || Alpha-S1-casein || singleton || only_one_record_in_fermfoodb || Ace-inhibitory || Ace inhibitory assay By HPLC,False,True,0.6,0.8,0.48
LSPA,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,315.0,315.0,315.0,315.0,1.0,1,2,2,,,,ahtpdb_clean_um_standardized,False,False,,5292 || 5786,Cereals (Maize (Zea mays)),small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || RP-HPLC,False,True,0.6,0.7,0.42
LTGP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,131.1,131.1,131.1,131.1,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000422 || 9153,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9153,BIOPEP-UWM,False,True,0.6,0.7,0.42
LVKF,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,24.6,24.6,24.6,24.6,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000451 || 9205,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9205,BIOPEP-UWM,False,True,0.6,0.7,0.42
LVLL,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,720.0,720.0,720.0,720.0,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000634 || 10026,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10026,BIOPEP-UWM,False,True,0.6,0.7,0.42
LVRT,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,1000.0,2470.0,2470.0,1980.0,2.47,1,3,3,,,,ahtpdb_clean_um_standardized,False,False,,5293 || 5926 || 6711,Milk (caprine lactoglobulin),small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || RP-HPLC,False,True,0.6,0.7,0.42
LVRY,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,4493.60525406,4493.60525406,4493.60525406,4493.60525406,1.0,1,1,1,,,,ahtpdb_clean_um_standardized,False,False,,4302,Whey,small || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || Cushman and Cheung (1971) || RP-HPLC,False,True,0.6,0.7,0.42
LVYP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,170.0,170.0,170.0,170.0,1.0,2,4,4,,,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,,mbpdb_ace_000192 || MBPDB_P02666_LVYP_73-76 || 4634 || 5294 || 5909,"10.1271/bbb1961.54.1101 || Casein (B-casein) || Milk (bovine, buffalo and ovine β-casein)",Inhibition of angiotensin-converting enzyme by synthetic peptide fragments of various β-caseins || Bos taurus || Beta-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981) || Synthetic,False,True,0.6,0.8,0.48
MAMP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,199.1,199.1,199.1,199.1,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000772 || 10958,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10958,BIOPEP-UWM,False,True,0.6,0.7,0.42
MDLA,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,0.01,0.01,0.01,0.01,1.0,1,1,1,,,,ahtpdb_clean_um_standardized,False,False,,6719,,small || exact_molar_value || not_converted: ic50_type不是mass_unit,False,True,0.6,0.7,0.42
MFDL,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,0.01,0.01,0.01,0.01,1.0,1,1,1,,,,ahtpdb_clean_um_standardized,False,False,,6718,,small || exact_molar_value || not_converted: ic50_type不是mass_unit,False,True,0.6,0.7,0.42
NILP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,560.0,560.0,560.0,560.0,1.0,2,5,5,,,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,,mbpdb_ace_000181 || MBPDB_P05814_NILP_80-83 || 5295 || 5983 || 6291 || 6808,10.1080/00021369.1989.10869621 || Milk (human β casein) || Human (Human Beta Casein) || Human (Synthetic peptide of Human beta casein),"Inhibition of Angiotensin-converting Enzyme by Synthetic Peptides of Human β-Casein || Homo sapiens || Beta-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981) || RP-HPLC, TLC, FAB-MS",False,True,0.6,0.8,0.48
NSLP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,755.1,755.1,755.1,755.1,1.0,1,1,1,,,,mbpdb_core_standardized,False,False,,mbpdb_ace_000175 || MBPDB_P02666_NSLP_83-86,10.1016/j.foodchem.2014.01.056,Characterisation of the hydrolytic specificity of Aspergillus niger derived prolyl endoproteinase on bovine β-casein and determination of ACE inhibitory activity || Bos taurus || Beta-casein,False,True,0.6,0.7,0.42
PFPE,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,1000.0,1000.0,1000.0,1000.0,1.0,2,2,2,,,,biopep_core_standardized || ahtpdb_clean_um_standardized,False,False,,biopep_ace_000070 || 3374 || 6359,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3374 || Casein,BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit,False,True,0.6,0.8,0.48
PKHP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,709.1,709.1,709.1,709.1,1.0,4,4,4,,,,biopep_core_standardized || mbpdb_core_standardized || ferm_strict_core_standardized || ahtpdb_clean_um_standardized,False,False,,biopep_ace_000529 || 9567 || mbpdb_ace_000308 || MBPDB_P02662_PKHP_17-20 || fermfoodb_ace_000711 || FMDB1636 || 4316,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9567 || 10.1016/j.chroma.2004.05.022 || Milk-Cheese (Sheep milk and cheeses proteins),BIOPEP-UWM || Identification of ACE-inhibitory peptides in different Spanish cheeses by tandem mass spectrometry || Bos taurus || Alpha-S1-casein || singleton || only_one_record_in_fermfoodb || Ace-inhibitory || spectrophotometric assay using HHL as substrate || small || exact_molar_value || not_converted: ic50_type不是mass_unit || HPLC-MS/MS,False,True,0.6,0.8,0.48
PKPP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,506.0,506.0,506.0,506.0,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000693 || 10479,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10479,BIOPEP-UWM,False,True,0.6,0.7,0.42
PPKP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,89.0,89.0,89.0,89.0,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000690 || 10476,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10476,BIOPEP-UWM,False,True,0.6,0.7,0.42
PRVF,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,110.0,110.0,110.0,110.0,1.0,1,1,1,,,,ahtpdb_clean_um_standardized,False,False,,6970,Soybean (Glycine max),small || exact_molar_value || not_converted: ic50_type不是mass_unit,False,True,0.6,0.7,0.42
PYKW,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,17.2,17.2,17.2,17.2,1.0,1,1,1,,,,ahtpdb_clean_um_standardized,False,False,,2838,Synthesized,small || exact_molar_value || not_converted: ic50_type不是mass_unit,False,True,0.6,0.7,0.42
QAFT,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,1001.0,1001.0,1001.0,1001.0,1.0,1,1,1,,,,ahtpdb_clean_um_standardized,False,False,,6657,,small || exact_molar_value || not_converted: ic50_type不是mass_unit,False,True,0.6,0.7,0.42
QLGP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,311.7,311.7,311.7,311.7,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000428 || 9159,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9159,BIOPEP-UWM,False,True,0.6,0.7,0.42
QLVP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,127.9,127.9,127.9,127.9,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000520 || 9551,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9551,BIOPEP-UWM,False,True,0.6,0.7,0.42
QPIP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,860.0,860.0,860.0,860.0,1.0,3,6,6,,,,biopep_core_standardized || mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,,biopep_ace_000038 || 2660 || mbpdb_ace_000158 || MBPDB_P05814_QPIP_155-158 || 5296 || 6006 || 6323 || 6831,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=2660 || 10.1080/00021369.1989.10869621 || Milk (human β casein) || Human (Human Beta Casein) || Human (Synthetic peptide of Human beta casein),"BIOPEP-UWM || Inhibition of Angiotensin-converting Enzyme by Synthetic Peptides of Human β-Casein || Homo sapiens || Beta-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981) || RP-HPLC, TLC, FAB-MS",False,True,0.6,0.8,0.48
QSGP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,168.6,168.6,168.6,168.6,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000421 || 9152,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9152,BIOPEP-UWM,False,True,0.6,0.7,0.42
QVGP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,160.8,160.8,160.8,160.8,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000427 || 9158,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9158,BIOPEP-UWM,False,True,0.6,0.7,0.42
QVVF,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,160.0,160.0,160.0,160.0,1.0,1,1,1,,,,ahtpdb_clean_um_standardized,False,False,,6972,Soybean (Glycine max),small || exact_molar_value || not_converted: ic50_type不是mass_unit,False,True,0.6,0.7,0.42
RALP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,650.0,970.0,650.0,730.0,1.4923076923076923,2,4,4,,,,biopep_core_standardized || ahtpdb_clean_um_standardized,False,False,,biopep_ace_000514 || 9468 || 2953 || 2960 || 5548,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9468 || Rapeseed proteins || Rapeseed protein,"BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Holmquist et al. (1979) || GPC, RP-HPLC || RP-HPLC",False,True,0.6,0.8,0.48
RPKH,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,223.7028214099605,223.7028214099605,223.7028214099605,223.7028214099605,1.0,1,1,1,,,,ferm_strict_core_standardized,False,False,,fermfoodb_ace_000826 || FMDB2072,12957917,singleton || only_one_record_in_fermfoodb || Ace-inhibitory || Spectrophotometric assay using HHL and furanacryloyl-Phe-Gly-Gly as substate,False,True,0.6,0.7,0.42
RPYL,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,56.5,56.5,56.5,56.5,1.0,3,4,4,,,,biopep_core_standardized || mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,,biopep_ace_000396 || 9108 || mbpdb_ace_000014 || MBPDB_P24627_RPYL_152-155 || 4332 || 5523,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9108 || 10.1016/j.foodchem.2011.08.076,BIOPEP-UWM || Antihypertensive effect of a bovine lactoferrin pepsin hydrolysate: Identification of novel active peptides || Bos taurus || Lactotransferrin || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Sentandreu and Toldra (2006) || RP-HPLC || HPLC,False,True,0.6,0.8,0.48
RYDF,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,235.0,235.0,235.0,235.0,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000489 || 9265,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9265,BIOPEP-UWM,False,True,0.6,0.7,0.42
RYLG,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,224.69,224.69,224.69,224.69,1.0,1,1,1,,,,mbpdb_core_standardized,False,False,,mbpdb_ace_000292 || MBPDB_P02662_RYLG_105-108,10.1016/j.idairyj.2013.05.008,Resistance of casein-derived bioactive peptides to simulated gastrointestinal digestion || Bos taurus || Alpha-S1-casein,False,True,0.6,0.7,0.42
SLPQ,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,330.0,744.081172492,330.0,414.5162344984,2.2547914317939397,2,5,5,,,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,,mbpdb_ace_000149 || MBPDB_P33048_SLPQ_84-87 || 2559 || 4286 || 5297 || 5962,"1) 10.3168/jds.S0022-0302(06)72369-4, 2) 10.3390/foods13213392 || Milk (Goat milk hydrolysate) || Milk-Cheese (Goat milk protein and cheeses) || Milk (goat)","1) Identification and Characterization of Novel Angiotensin-Converting Enzyme Inhibitors Obtained from Goat Milk, 2) Goat Milk Protein-Derived ACE Inhibitory Peptide SLPQ Exerts Hypertension Alleviation Effects Partially by Regulating the Inflammatory Stress of Endothelial Cells || Capra hircus || Beta-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Wu J et al., 2002 || RP-LC, HPLC || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || RP-HPLC || Cushman and Cheung (1971)",False,True,0.6,0.8,0.48
SNIP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,228.3,228.3,228.3,228.3,1.0,1,1,1,,,,ahtpdb_clean_um_standardized,False,False,,1247,Sweet-potato tuber trypsin inhibitor,"small || exact_molar_value || not_converted: ic50_type不是mass_unit || TLC (Holmquist et al., 1979) || TrypsinSepharose-4B AC",False,True,0.6,0.7,0.42
SPYP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,850.0,850.0,850.0,850.0,1.0,2,3,3,,,,ferm_strict_core_standardized || ahtpdb_clean_um_standardized,False,False,,fermfoodb_ace_000265 || FMDB860 || 5298 || 6219,Soybean (Glycine max),"singleton || only_one_record_in_fermfoodb || Ace-inhibitory || Production of angiotensin I-converting enzyme inhibitory peptides from soybean protein with Monascus purpureus acid proteinase || Spectrophotometric assay using pig pulmonary ACE and hippuryl-L-histidyl-L-leucine substrate || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || IEC, RP-HPLC, UF",False,True,0.6,0.8,0.48
SQPK,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,354.0,772.066039999,354.0,437.6132079998,2.180977514121469,2,5,5,,,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,,mbpdb_ace_000146 || MBPDB_P33048_SQPK_181-184 || 2560 || 4287 || 5299 || 5963,10.3168/jds.S0022-0302(06)72369-4 || Milk (Goat milk hydrolysate) || Milk-Cheese (Goat milk protein and cheeses) || Milk (goat),"Identification and Characterization of Novel Angiotensin-Converting Enzyme Inhibitors Obtained from Goat Milk || Capra hircus || Beta-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Wu J et al., 2002 || RP-LC, HPLC || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || RP-HPLC || Cushman and Cheung (1971)",False,True,0.6,0.8,0.48
SVYT,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,63.0,63.0,63.0,63.0,1.0,1,1,1,,,,biopep_core_standardized,False,False,,biopep_ace_000609 || 9939,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9939,BIOPEP-UWM,False,True,0.6,0.7,0.42
SWSF,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,76.3,76.3,76.3,76.3,1.0,1,1,1,,,,ahtpdb_clean_um_standardized,False,False,,1910,Wine,"small || exact_molar_value || not_converted: ic50_type不是mass_unit || RP-HPLC, SEC",False,True,0.6,0.7,0.42
TGVY,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,18.2,18.2,18.2,18.2,1.0,1,1,1,,,,ahtpdb_clean_um_standardized,False,False,,4239,Cereals (Rice protein),"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Spectrophotometric measurement || RP-HPLC, MALDI-TOF MS/MS",False,True,0.6,0.7,0.42
TQVY,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,18.2,18.2,18.2,18.2,1.0,2,5,5,,,,biopep_core_standardized || ahtpdb_clean_um_standardized,False,False,,biopep_ace_000162 || 7503 || 1279 || 1827 || 2651 || 6513,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7503 || Cereals (Rye) || Cereals (rice) || Cereals (rice protein hydrolysate),"BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Extraction-free spectrophotometric assay || RP-HPLC || Li G-H et al. 2005 || SEC, RPC || Direct, extraction-free spectrophotometric assay || RP-HPLC, FAB-MS",False,True,0.6,0.8,0.48
TTMP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,51.0,51.0,51.0,51.0,1.0,1,1,1,,,,mbpdb_core_standardized,False,False,,mbpdb_ace_000305 || MBPDB_P02662_TTMP_209-212,10.1128/AEM.00096-07,Casein Fermentate of Lactobacillus animalisDPC6134 Contains a Range of Novel Propeptide Angiotensin-Converting Enzyme Inhibitors || Bos taurus || Alpha-S1-casein,False,True,0.6,0.7,0.42
TVDQ,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,1311.2675586400187,1311.2675586400187,1311.2675586400187,1311.2675586400187,1.0,1,1,1,,,,ferm_strict_core_standardized,False,False,,fermfoodb_ace_000828 || FMDB2074,12957917,singleton || only_one_record_in_fermfoodb || Ace-inhibitory || Spectrophotometric assay using HHL and furanacryloyl-Phe-Gly-Gly as substate,False,True,0.6,0.7,0.42
TVPY,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,2.0,2.0,2.0,2.0,1.0,1,1,1,,,,ahtpdb_clean_um_standardized,False,False,,6893,Wheat (Triticum aestivum),"small || exact_molar_value || not_converted: ic50_type不是mass_unit || 2,4,6-trinitrobenzene sulfonate(TNBS) method || HPLC",False,True,0.6,0.7,0.42
